copy_id,book_id,is_reserved,reserved_date,member_id
c001,b001,N,null,null
c002,b001,N,null,null
c003,b001,N,null,null
c004,b002,Y,null,null
c005,b002,Y,null,null
c006,b002,Y,null,null
c007,b003,N,null,null
c008,b003,N,null,null
c009,b003,N,null,null
c010,b004,N,null,null
c011,b004,N,null,null
c012,b004,N,null,null
c013,b005,N,null,null
c014,b005,N,null,null
c015,b005,N,null,null
c016,b006,Y,2022-03-21,m005
c017,b006,Y,2022-03-21,m005
c018,b006,Y,2022-03-21,m005
c019,b007,N,null,null
c020,b007,N,null,null
c021,b007,N,null,null
c022,b008,N,null,null
c023,b008,N,null,null
c024,b008,N,null,null
c025,b009,N,null,null
c026,b009,N,null,null
c027,b009,N,null,null
c028,b010,N,null,null
c029,b010,N,null,null
c030,b010,N,null,null
c031,b011,N,null,null
c032,b011,N,null,null
c033,b011,N,null,null
c034,b011,N,null,null
c035,b012,N,null,null
c036,b012,N,null,null
c037,b012,N,null,null
c038,b012,N,null,null
c039,b013,N,null,null
c040,b013,N,null,null
c041,b013,N,null,null
c042,b013,N,null,null
c043,b014,N,null,null
c044,b014,N,null,null
c045,b014,N,null,null
c046,b014,N,null,null
c047,b015,N,null,null
c048,b015,N,null,null
c049,b015,N,null,null
c050,b015,N,null,null
